CustomerID,churn_probability,CLTV,retention_priority,retention_tier
4143-HHPMK,0.9777975861498458,6402,6259.860146531313,Critical
0877-SDMBN,0.9871919350421798,6117,6038.653066653014,Critical
5299-RULOA,0.9898840854604531,5998,5937.324744591798,Critical
0431-APWVY,0.9927164632317902,5958,5914.604687935006,Critical
4391-RESHN,0.9915308627413084,5963,5912.498534526422,Critical
1725-IQNIY,0.9406436182528308,6274,5901.598060918261,Critical
6496-SLWHQ,0.9898484311143607,5960,5899.49664944159,Critical
6653-CBBOM,0.9876614268218363,5963,5889.42508813861,Critical
5565-FILXA,0.9944004925435973,5913,5879.890112410291,Critical
0637-YLETY,0.9937697024956808,5915,5878.147790261952,Critical
8199-ZLLSA,0.9386371569701976,6255,5871.175416848586,Critical
3571-RFHAR,0.9769626151411916,6001,5862.752653462291,Critical
0094-OIFMO,0.9791046723041267,5980,5855.045940378677,Critical
4822-RVYBB,0.9910822936706843,5906,5853.332026419062,Critical
5089-IFSDP,0.9095113050855141,6424,5842.700623869343,Critical
4913-EHYUI,0.9307914308374966,6268,5834.200688489429,Critical
2886-KEFUM,0.9492012284664995,6144,5831.892347698173,Critical
4237-RLAQD,0.9812989694989812,5930,5819.102889128959,Critical
5419-KLXBN,0.9937071467176923,5853,5816.167929738654,Critical
1965-DDBWU,0.9753060304539827,5953,5805.9967992925585,Critical
3870-MQAMG,0.93770915264759,6189,5803.4819457359345,Critical
0511-JTEOY,0.9959676250567662,5824,5800.515448330606,Critical
0345-HKJVM,0.9987267702341085,5800,5792.615267357829,Critical
3178-FESZO,0.9989631356813012,5797,5790.989297544504,Critical
8329-IBCTI,0.9840306207010245,5881,5787.084080342725,Critical
4009-ALQFH,0.9753172261510951,5932,5785.581785528296,Critical
2983-ZANRP,0.9971938881788781,5799,5782.727357549315,Critical
0325-XBFAC,0.9945232077724514,5811,5779.174360365715,Critical
5301-GAUUY,0.9669032339314609,5974,5776.279919506547,Critical
4607-CHPCA,0.9948190074274367,5801,5770.94506208656,Critical
1113-IUJYX,0.9791900016957238,5887,5764.491539982726,Critical
4369-HTUIF,0.9885342445425258,5831,5764.143179927468,Critical
0947-MUGVO,0.985456511237257,5849,5763.935134226716,Critical
8696-JKZNU,0.9836404436647948,5859,5763.149359432033,Critical
3523-QRQLL,0.9727230745577898,5922,5760.466047531231,Critical
1518-VOWAV,0.9758738267562203,5900,5757.655577861699,Critical
8185-UPYBR,0.986194823478557,5838,5757.405379467816,Critical
6100-QQHEB,0.9962072173441913,5775,5753.096680162705,Critical
9985-MWVIX,0.99628648855195,5773,5751.561898410408,Critical
3804-RVTGV,0.9886701809495401,5812,5746.1510916787265,Critical
9444-JTXHZ,0.9609869952830088,5973,5739.975322825411,Critical
8976-OQHGT,0.9966961195527467,5758,5738.976256384715,Critical
5228-EXCET,0.9616818011211923,5964,5735.4702618867905,Critical
7056-IMHCC,0.9742859705664878,5884,5732.698650813214,Critical
7315-WYOAW,0.9569511352440736,5985,5727.35254443578,Critical
6140-QNRQQ,0.9970889654833004,5739,5722.293572908661,Critical
3319-DWOEP,0.9941808683810971,5750,5716.539993191308,Critical
3428-XZMAZ,0.9850521042986942,5796,5709.361996515231,Critical
0643-OKLRP,0.9638952034721349,5915,5701.440128537678,Critical
2656-FMOKZ,0.996542002986145,5717,5697.230631071791,Critical
3540-RZJYU,0.9773081999076983,5829,5696.729497261974,Critical
4430-UZIPO,0.977783183742187,5825,5695.587045298239,Critical
6688-UZPWD,0.9894998690682428,5750,5689.624247142397,Critical
2873-ZLIWT,0.9868686729421758,5764,5688.311030838701,Critical
9710-ZUSHQ,0.9714839776131766,5849,5682.20978505947,Critical
9415-DPEWS,0.9916805775103578,5727,5679.354667401819,Critical
8042-JVNFH,0.9910544484687144,5730,5678.741989725733,Critical
9465-RWMXL,0.9542191469789478,5949,5676.64970537776,Critical
3027-ZTDHO,0.9538748252253647,5951,5676.509084916145,Critical
3858-VOBET,0.9620444976505791,5897,5673.176402645465,Critical
1612-EOHDH,0.9733639603865926,5828,5672.765161133061,Critical
0925-VYDLG,0.9613380990286706,5898,5669.9721080711,Critical
8637-XJIVR,0.9748764758776867,5806,5660.132818945849,Critical
6416-TVAIH,0.9813591739333752,5753,5645.759327638708,Critical
0135-NMXAP,0.9954006945129152,5671,5644.917338582743,Critical
6599-CEBNN,0.9712829690842257,5795,5628.584805843088,Critical
5482-NUPNA,0.9808681617237338,5730,5620.374566676995,Critical
9399-APLBT,0.9375530029667165,5980,5606.566957740964,Critical
5889-JTMUL,0.9561405422239789,5863,5605.8519990591885,Critical
6386-SZZKH,0.9671029247696904,5785,5594.690419792659,Critical
8348-HFYIV,0.968294188766754,5775,5591.898940128004,Critical
7619-ODSGN,0.980737366367349,5699,5589.222250927522,Critical
4671-LXRDQ,0.9768131221433292,5704,5571.74204870555,Critical
2225-ZRGSG,0.9019389116901789,6173,5567.668901863474,Critical
9692-TUSXH,0.99748715742362,5581,5566.975825581223,Critical
9898-KZQDZ,0.9804033727492428,5676,5564.769543724702,Critical
5698-BQJOH,0.9979665387412049,5571,5559.671587327252,Critical
0378-TOVMS,0.9853509501017197,5641,5558.364709523801,Critical
6894-LFHLY,0.9974846167309481,5571,5556.986799808112,Critical
7112-OPOTK,0.9836193380231957,5647,5554.498401816986,Critical
7760-OYPDY,0.9936099351456149,5586,5550.305097723405,Critical
